Machine_ID,Machine_Type,Operating_Hours,Ambient_Temperature (°C),Vibration_Level (mm/s),Maintenance_Overdue (days),Tool_Wear (mm),Error_Code,Failure
M002,Lathe,1792,26,3.9,12,0.18,E501,False
M002,Lathe,1735,27,5.3,3,0.1,E202,True
M004,Lathe,908,28,4.8,36,0.22,E404,True
M009,Router,2468,27,7.2,34,0.06,E101,True
M007,Lathe,1081,25,8.8,55,0.05,E202,False
M005,Grinder,1603,26,7.1,19,0.15,E305,False
M001,Grinder,2064,23,7.5,13,0.12,E202,False
M006,Grinder,2869,29,3.6,15,0.2,E501,False
M004,Router,1809,23,3.9,18,0.11,E101,True
M010,Milling,3152,24,4.4,26,0.08,E501,False
M006,Lathe,2504,23,7.9,60,0.08,E404,False
M008,Grinder,1016,24,7.8,56,0.07,E404,False
M010,Grinder,2333,25,9.0,7,0.16,E404,True
M009,Milling,2984,24,8.2,2,0.12,E501,True
M009,Router,2111,29,4.6,32,0.12,E305,False
M002,Grinder,2767,30,8.2,18,0.11,E501,True
M001,Router,2807,30,7.7,0,0.17,E305,False
M004,Lathe,1576,28,8.9,51,0.06,E404,False
M004,Milling,2827,28,8.1,57,0.08,E305,False
M002,Grinder,2151,29,3.6,57,0.2,E202,True
M007,Grinder,2815,24,7.8,44,0.17,E305,False
M008,Router,1069,26,7.9,42,0.12,E501,True
M001,Milling,1206,22,5.6,25,0.06,E305,False
M008,Milling,2979,25,9.1,33,0.13,E202,False
M005,Milling,1046,31,5.6,15,0.15,E101,False
M003,Grinder,2258,30,3.9,15,0.16,E404,False
M009,Router,1891,22,5.8,11,0.09,E202,False
M005,Milling,1929,28,8.0,37,0.07,E101,True
M005,Milling,2274,29,3.9,47,0.14,E202,False
M006,Lathe,1695,31,5.8,28,0.08,E101,True
M010,Milling,1737,29,6.1,8,0.07,E202,True
M002,Router,1425,22,3.7,10,0.21,E305,False
M001,Lathe,3174,22,5.5,18,0.16,E305,True
M010,Router,3163,29,4.2,51,0.12,E305,False
M006,Milling,1386,26,6.0,33,0.08,E101,False
M009,Lathe,1303,26,7.3,10,0.2,E305,False
M003,Grinder,1300,31,4.7,4,0.09,E404,False
M006,Grinder,1590,26,7.4,2,0.19,E305,True
M009,Grinder,2654,26,4.1,20,0.05,E404,True
M006,Milling,2310,23,4.4,58,0.11,E404,True
M005,Lathe,3104,28,8.8,27,0.11,E305,True
M005,Milling,3053,31,5.8,13,0.06,E101,False
M005,Grinder,1963,26,4.0,44,0.15,E101,True
M010,Lathe,1188,24,8.7,49,0.09,E202,False
M006,Router,2134,24,4.1,4,0.19,E305,False
M003,Router,2310,23,5.3,34,0.16,E501,True
M007,Grinder,2859,28,5.3,49,0.07,E305,False
M004,Lathe,3009,27,7.1,18,0.19,E101,False
M010,Lathe,2278,23,4.2,24,0.2,E101,False
M008,Router,2402,29,6.4,22,0.17,E202,False
M003,Milling,1302,23,7.6,49,0.08,E305,False
M006,Router,2653,24,8.8,0,0.21,E404,True
M007,Lathe,990,30,4.6,24,0.14,E501,False
M007,Router,1751,24,4.5,10,0.16,E202,True
M005,Grinder,3168,22,5.3,38,0.13,E101,False
M010,Lathe,1190,25,3.8,54,0.2,E101,True
M008,Router,2163,23,8.3,21,0.2,E202,True
M002,Grinder,1083,24,7.4,53,0.16,E202,False
M007,Grinder,1447,28,6.2,3,0.19,E404,False
M008,Grinder,2032,27,4.6,12,0.08,E404,True
M006,Grinder,2058,24,5.5,1,0.16,E202,True
M002,Grinder,2765,22,3.7,41,0.22,E501,False
M009,Lathe,2038,29,5.9,0,0.2,E202,True
M003,Lathe,2736,29,8.4,16,0.15,E305,True
M002,Lathe,2380,25,7.4,48,0.08,E305,True
M008,Milling,1113,26,8.6,34,0.2,E501,True
M004,Lathe,1830,22,8.9,18,0.06,E501,True
M008,Router,1629,29,6.8,28,0.08,E101,False
M004,Lathe,2267,24,6.3,41,0.19,E501,True
M010,Grinder,977,30,5.1,31,0.06,E202,False
M006,Grinder,1406,30,6.7,27,0.17,E404,True
M003,Grinder,2432,30,8.2,49,0.18,E305,False
M007,Router,2760,27,5.1,33,0.09,E305,True
M001,Grinder,3000,25,5.5,29,0.2,E305,False
M009,Router,3085,22,8.0,11,0.06,E501,False
M005,Lathe,1074,23,4.5,8,0.18,E305,True
M001,Lathe,3068,27,5.4,50,0.18,E202,False
M008,Router,1414,30,7.7,51,0.14,E404,True
M009,Router,1363,25,6.4,48,0.2,E202,True
M009,Router,1681,31,8.2,58,0.17,E404,False
M003,Router,1824,24,6.9,30,0.17,E501,True
M005,Router,833,31,5.3,28,0.16,E101,False
M007,Router,1193,27,3.7,39,0.14,E101,False
M009,Grinder,2472,26,8.7,1,0.18,E404,False
M004,Router,2076,30,7.4,19,0.09,E305,False
M001,Router,1546,24,8.7,17,0.18,E305,True
M008,Grinder,2185,27,3.6,38,0.11,E404,True
M009,Router,2601,31,7.7,53,0.1,E501,True
M009,Router,3019,23,3.8,20,0.18,E202,True
M006,Grinder,1163,22,8.3,42,0.15,E101,False
M005,Lathe,2139,24,6.4,57,0.12,E501,True
M003,Grinder,1758,23,3.6,40,0.13,E305,True
M004,Grinder,3040,22,4.5,27,0.16,E404,False
M006,Router,1593,29,5.6,60,0.13,E501,True
M004,Grinder,2478,27,8.0,4,0.21,E101,False
M004,Lathe,2832,28,8.1,39,0.07,E305,True
M009,Router,1308,29,9.2,24,0.06,E101,False
M004,Lathe,3096,29,5.0,8,0.15,E305,True
M002,Grinder,2970,23,8.9,31,0.08,E101,False
M009,Lathe,2149,28,4.2,2,0.19,E202,False
M006,Grinder,945,29,8.3,41,0.07,E305,False
M010,Lathe,2157,27,8.3,10,0.11,E101,True
M002,Router,803,29,6.1,53,0.13,E202,True
M002,Milling,3199,22,7.5,17,0.2,E404,True
M003,Milling,877,29,5.5,56,0.15,E305,False
M001,Milling,1452,29,4.3,4,0.08,E404,False
M009,Grinder,816,31,8.3,4,0.2,E404,True
M003,Grinder,2813,28,3.8,19,0.17,E404,False
M005,Router,2075,25,4.6,29,0.2,E202,False
M002,Router,1183,26,7.1,15,0.15,E404,True
M003,Router,1901,31,4.3,38,0.05,E101,False
M007,Lathe,1542,30,8.1,50,0.19,E101,False
M007,Grinder,3118,26,4.6,29,0.14,E404,False
M008,Lathe,1030,28,7.2,60,0.2,E305,True
M003,Lathe,3170,22,7.6,38,0.16,E501,False
M009,Milling,1404,29,8.7,33,0.1,E202,False
M008,Grinder,1757,25,8.4,46,0.21,E501,False
M006,Lathe,2587,30,4.5,23,0.1,E305,False
M010,Lathe,2007,29,7.0,36,0.15,E101,True
M010,Milling,2605,24,4.3,13,0.17,E501,True
M003,Milling,3149,29,6.3,25,0.21,E501,True
M001,Lathe,1600,31,8.3,50,0.19,E305,False
M007,Lathe,2605,25,4.7,22,0.15,E202,False
M009,Grinder,2862,22,7.1,40,0.21,E501,True
M007,Grinder,1048,22,7.8,39,0.16,E501,True
M007,Grinder,3015,30,7.1,54,0.2,E404,False
M002,Grinder,2518,27,7.8,35,0.14,E101,True
M002,Lathe,1841,23,4.7,47,0.13,E305,False
M004,Milling,1570,31,4.9,40,0.15,E404,True
M003,Router,2789,28,7.0,58,0.09,E305,True
M007,Milling,903,23,8.0,53,0.2,E101,True
M003,Lathe,1236,31,7.8,5,0.21,E202,False
M004,Lathe,2530,23,5.8,30,0.09,E501,True
M009,Grinder,2831,24,4.7,20,0.11,E501,False
M002,Router,2381,30,5.9,50,0.13,E501,True
M001,Milling,1435,26,4.1,21,0.08,E202,True
M008,Lathe,1339,29,6.6,10,0.2,E101,False
M007,Milling,1620,25,8.4,6,0.05,E305,False
M009,Grinder,2359,27,5.2,7,0.2,E202,True
M002,Milling,1898,22,6.4,46,0.15,E501,True
M008,Grinder,1796,29,4.0,41,0.16,E101,False
M006,Router,2206,22,4.0,38,0.06,E101,True
M007,Lathe,2228,29,7.3,22,0.15,E501,True
M001,Lathe,1405,31,8.9,36,0.17,E101,True
M009,Lathe,2724,25,7.2,49,0.17,E101,True
M009,Milling,1792,25,5.2,6,0.09,E404,False
M006,Milling,1472,25,6.3,9,0.16,E202,True
M002,Milling,1801,23,8.1,54,0.14,E305,True
M005,Grinder,1015,26,6.8,41,0.05,E101,False
M004,Lathe,2983,22,7.3,10,0.13,E501,True
M001,Milling,1547,29,7.2,54,0.21,E404,False
M002,Router,1058,29,3.6,47,0.15,E404,True
M006,Lathe,1600,28,4.8,9,0.14,E101,False
M006,Router,2878,23,4.7,12,0.13,E202,False
M006,Grinder,2191,30,3.9,43,0.05,E501,True
M010,Milling,1330,23,4.7,60,0.07,E305,False
M007,Lathe,1743,29,5.7,21,0.05,E404,True
M008,Router,979,25,7.0,9,0.11,E404,True
M003,Milling,2374,27,5.9,6,0.11,E501,True
M001,Milling,1613,27,7.9,3,0.1,E501,True
M001,Grinder,1577,22,6.9,58,0.17,E404,True
M001,Grinder,2302,30,7.0,49,0.17,E305,False
M001,Milling,1672,31,6.3,15,0.1,E404,False
M002,Milling,1799,23,3.9,2,0.14,E404,True
M008,Grinder,1061,30,5.3,57,0.16,E501,True
M001,Grinder,1848,27,4.9,32,0.12,E501,False
M008,Grinder,1650,26,4.4,48,0.19,E101,True
M008,Grinder,2065,24,7.4,15,0.17,E202,True
M004,Lathe,969,24,8.5,45,0.2,E305,True
M001,Milling,1900,24,6.9,12,0.17,E404,False
M004,Router,2949,25,4.8,3,0.19,E404,False
M007,Lathe,3041,25,9.2,58,0.07,E501,True
M008,Milling,1369,25,6.4,60,0.22,E101,True
M006,Grinder,2401,23,4.1,11,0.08,E404,False
M005,Router,2332,30,8.7,37,0.17,E404,False
M006,Milling,996,24,7.8,26,0.18,E101,False
M007,Grinder,2410,31,5.1,25,0.22,E501,True
M004,Milling,1559,24,8.6,35,0.17,E305,False
M009,Router,890,22,5.5,43,0.18,E202,True
M009,Router,996,24,4.4,19,0.21,E305,True
M007,Milling,2255,28,8.4,33,0.18,E101,True
M007,Router,2589,23,7.8,56,0.06,E305,False
M006,Grinder,3149,28,4.4,24,0.22,E404,False
M003,Milling,3163,25,9.0,34,0.1,E101,True
M009,Milling,2528,28,9.0,59,0.1,E202,True
M005,Lathe,933,23,8.6,48,0.15,E305,True
M002,Router,3154,26,5.2,11,0.16,E305,False
M001,Grinder,2179,27,7.1,46,0.13,E404,True
M006,Milling,2284,23,5.1,58,0.21,E404,False
M006,Milling,2819,23,6.8,40,0.12,E501,True
M006,Milling,1875,29,4.8,53,0.09,E305,True
M007,Grinder,2739,29,6.6,42,0.12,E101,False
M010,Milling,2530,25,4.4,44,0.08,E501,False
M003,Router,2625,24,7.5,22,0.07,E404,True
M001,Grinder,3070,23,6.7,22,0.17,E404,True
M005,Router,2718,28,8.2,50,0.17,E101,True
M009,Router,2261,25,7.4,6,0.19,E101,True
M006,Router,3093,29,5.3,3,0.12,E101,False
M001,Router,1018,30,7.5,41,0.1,E305,True
M001,Grinder,1266,27,5.6,41,0.16,E404,False
M005,Milling,1833,28,6.2,16,0.14,E101,True
M006,Router,1066,28,4.1,40,0.06,E305,False
M005,Milling,1158,29,4.2,42,0.13,E202,False
M008,Grinder,2452,22,6.2,46,0.17,E101,True
M010,Grinder,1458,28,7.1,0,0.16,E305,True
M004,Router,1541,24,4.9,6,0.2,E305,False
M008,Router,2911,27,4.1,10,0.15,E202,True
M007,Router,2682,22,6.1,1,0.07,E101,False
M002,Lathe,1535,29,5.6,60,0.17,E404,True
M008,Grinder,1833,27,6.7,18,0.05,E202,True
M002,Router,1766,30,8.6,52,0.17,E404,False
M009,Lathe,2712,28,7.3,43,0.1,E101,True
M006,Milling,2679,22,4.5,49,0.13,E101,False
M009,Milling,1361,26,5.6,33,0.2,E101,True
M009,Milling,2602,23,3.7,12,0.12,E101,True
M007,Lathe,1071,29,5.1,30,0.15,E501,True
M004,Milling,2289,27,7.9,15,0.13,E202,False
M010,Router,2234,26,6.4,39,0.16,E101,False
M004,Grinder,2748,25,8.5,2,0.12,E404,True
M007,Grinder,2017,25,6.2,1,0.09,E202,False
M003,Grinder,1916,29,6.8,12,0.19,E305,False
M005,Milling,2009,26,6.6,55,0.11,E101,True
M001,Lathe,2369,25,7.1,59,0.12,E202,False
M001,Milling,2795,29,6.4,19,0.13,E202,True
M005,Milling,2713,22,4.5,14,0.13,E404,False
M009,Grinder,1521,23,6.5,7,0.13,E305,True
M004,Router,2585,25,7.2,25,0.07,E404,True
M001,Grinder,1685,22,5.0,4,0.21,E305,True
M001,Milling,2866,23,8.5,38,0.09,E101,True
M002,Milling,1697,27,3.6,34,0.13,E101,True
M007,Lathe,2838,29,6.6,37,0.06,E202,False
M010,Router,861,30,6.0,42,0.11,E305,True
M007,Router,1369,25,7.2,43,0.13,E101,False
M009,Grinder,855,31,6.5,4,0.06,E202,True
M009,Grinder,982,30,8.3,13,0.12,E305,True
M004,Router,2599,23,5.3,28,0.08,E501,False
M010,Lathe,3079,28,7.4,46,0.17,E501,True
M008,Lathe,2749,30,8.8,20,0.13,E404,True
M006,Router,2546,22,7.2,50,0.15,E202,True
M004,Lathe,2301,30,8.0,42,0.11,E501,True
M010,Milling,2251,26,5.9,43,0.14,E404,True
M007,Milling,2503,31,8.5,21,0.06,E305,True
M007,Router,2047,23,6.8,11,0.11,E202,False
M002,Milling,1357,22,3.9,26,0.15,E501,True
M007,Grinder,1871,27,4.0,38,0.14,E501,False
M010,Grinder,2545,31,7.3,38,0.1,E404,False
M003,Lathe,2324,28,5.7,0,0.22,E501,False
M008,Milling,1103,31,7.1,37,0.11,E305,False
M010,Milling,2996,29,8.5,42,0.14,E305,False
M005,Router,2365,25,6.5,58,0.21,E202,False
M010,Lathe,2042,24,6.6,14,0.11,E501,True
M007,Router,1475,24,5.6,60,0.14,E202,False
M005,Milling,1493,28,7.7,2,0.14,E202,False
M009,Milling,2118,30,7.7,48,0.07,E101,True
M002,Grinder,2871,22,8.0,54,0.12,E501,True
M004,Lathe,3104,29,6.9,8,0.19,E101,True
M001,Milling,2115,28,4.9,17,0.22,E305,True
M003,Milling,3046,24,8.2,0,0.1,E202,False
M010,Grinder,2529,22,6.8,32,0.13,E101,True
M001,Lathe,2246,26,7.1,40,0.16,E501,False
M001,Grinder,3054,25,4.4,7,0.17,E202,False
M002,Milling,1431,22,3.8,26,0.14,E305,True
M010,Lathe,1131,23,5.8,7,0.06,E501,True
M009,Router,3127,25,7.8,53,0.18,E202,True
M001,Milling,2042,23,6.1,25,0.19,E501,True
M002,Milling,2209,24,4.6,1,0.1,E305,True
M005,Grinder,2325,28,4.1,42,0.05,E202,False
M007,Router,3138,25,4.7,26,0.21,E501,False
M004,Lathe,2118,23,7.1,5,0.16,E501,False
M007,Milling,1672,24,4.8,23,0.05,E404,True
M002,Lathe,2190,26,9.0,7,0.09,E501,True
M002,Grinder,2894,23,7.7,14,0.11,E305,False
M001,Router,2356,28,8.6,42,0.08,E101,True
M009,Lathe,2458,23,6.6,2,0.08,E305,True
M010,Lathe,980,27,6.5,1,0.17,E202,False
M009,Router,2496,28,6.2,18,0.15,E501,False
M007,Router,1041,26,7.7,26,0.08,E202,True
M008,Lathe,2421,30,4.7,0,0.16,E404,True
M010,Lathe,1693,31,6.0,9,0.21,E305,True
M001,Router,2632,27,4.9,3,0.11,E501,False
M002,Lathe,940,31,5.0,51,0.2,E404,True
M003,Grinder,1949,28,4.6,56,0.2,E202,True
M007,Milling,2371,25,3.9,60,0.1,E202,False
M005,Router,1736,27,7.8,57,0.18,E202,True
M002,Lathe,925,25,3.6,5,0.06,E202,False
M008,Router,2565,25,4.3,7,0.11,E305,True
M006,Lathe,2543,26,3.8,24,0.07,E305,False
M004,Lathe,1455,29,8.7,14,0.08,E404,False
M008,Milling,2273,24,6.2,19,0.18,E404,False
M002,Router,1663,25,8.4,38,0.05,E101,True
M001,Router,1622,25,5.9,23,0.12,E305,True
M006,Lathe,3017,28,6.6,16,0.18,E501,False
M009,Router,1334,23,6.2,20,0.21,E101,True
M006,Router,2116,22,4.7,22,0.2,E404,False
M009,Milling,894,27,4.5,41,0.11,E305,False
M006,Router,1954,27,5.3,39,0.14,E305,False
M008,Milling,1413,28,8.7,10,0.19,E501,False
M008,Grinder,1894,26,7.0,16,0.11,E202,False
M003,Milling,2979,23,6.7,49,0.17,E501,True
M006,Milling,3140,27,4.9,57,0.08,E404,False
M005,Router,2049,22,8.9,35,0.08,E101,False
M004,Router,1756,22,5.6,1,0.07,E404,False
M004,Grinder,1233,31,5.3,52,0.18,E305,True
M007,Router,2756,22,9.1,41,0.11,E305,False
M008,Router,3100,22,9.2,58,0.15,E202,False
M006,Lathe,2690,31,4.5,18,0.05,E501,True
M001,Lathe,1509,23,7.7,44,0.19,E305,True
M001,Router,2648,30,6.2,48,0.07,E501,True
M008,Grinder,1928,31,7.4,12,0.16,E501,True
M008,Grinder,2367,30,6.0,12,0.11,E404,True
M008,Milling,2516,26,5.4,2,0.09,E404,True
M001,Grinder,2987,30,8.8,11,0.12,E404,True
M005,Router,1577,26,8.6,51,0.18,E202,False
M001,Grinder,2220,29,4.7,43,0.14,E305,True
M002,Router,2829,27,6.8,14,0.07,E501,False
M002,Grinder,1400,25,3.9,2,0.15,E305,False
M002,Grinder,1425,25,4.9,39,0.15,E501,True
M005,Milling,2291,22,4.7,0,0.2,E202,True
M007,Grinder,2831,25,9.1,7,0.07,E202,True
M009,Router,3145,23,9.1,57,0.12,E501,True
M005,Milling,2921,22,8.8,53,0.08,E404,True
M002,Grinder,1949,25,7.3,45,0.17,E101,True
M009,Router,2127,26,4.0,16,0.2,E305,False
M003,Milling,2379,28,7.8,17,0.08,E501,False
M008,Lathe,828,25,3.9,59,0.07,E101,True
M005,Lathe,801,28,4.7,56,0.12,E305,False
M001,Router,1411,31,6.3,40,0.19,E404,True
M002,Grinder,894,28,4.1,0,0.21,E404,True
M003,Router,1925,22,5.6,39,0.09,E404,True
M007,Router,3046,22,4.3,40,0.2,E501,True
M007,Milling,1555,31,8.8,38,0.07,E305,False
M010,Milling,2726,28,4.6,9,0.09,E101,False
M009,Milling,830,25,5.7,8,0.12,E501,False
M008,Milling,2484,31,5.6,31,0.14,E305,True
M006,Grinder,3124,27,3.9,20,0.21,E305,False
M004,Grinder,2903,24,9.1,10,0.18,E404,False
M001,Milling,1788,26,4.2,51,0.09,E101,False
M008,Milling,1475,25,8.3,52,0.18,E101,True
M009,Router,3094,31,7.2,47,0.11,E501,True
M006,Milling,853,26,6.4,31,0.11,E305,False
M004,Lathe,1661,24,6.8,22,0.16,E101,False
M004,Milling,1949,23,8.9,48,0.19,E404,False
M009,Lathe,2723,22,8.5,15,0.2,E101,True
M010,Milling,1107,22,5.9,37,0.08,E404,False
M002,Lathe,2714,23,8.6,33,0.11,E501,False
M009,Grinder,1716,31,5.7,55,0.16,E101,True
M008,Grinder,2509,26,8.6,41,0.13,E501,False
M007,Lathe,982,22,6.5,24,0.19,E305,True
M007,Grinder,3174,30,6.0,60,0.18,E404,False
M008,Milling,1393,26,6.9,52,0.16,E501,False
M002,Grinder,933,24,9.1,19,0.14,E202,False
M009,Grinder,1864,30,4.8,26,0.2,E404,True
M004,Grinder,2042,26,3.9,18,0.07,E404,False
M008,Lathe,979,26,4.1,17,0.22,E501,False
M010,Lathe,1696,25,5.8,60,0.09,E404,False
M005,Lathe,2985,22,7.8,44,0.14,E101,True
M004,Grinder,1198,22,4.5,7,0.07,E305,False
M010,Router,2456,30,8.3,7,0.18,E404,False
M002,Milling,1345,29,4.4,47,0.15,E501,True
M009,Milling,1374,28,7.6,44,0.15,E101,True
M005,Grinder,2972,26,5.0,30,0.17,E501,False
M002,Lathe,2600,27,7.2,17,0.22,E101,True
M005,Router,1678,29,5.1,9,0.08,E404,False
M004,Grinder,2964,22,3.8,53,0.14,E202,True
M002,Lathe,2791,29,7.5,18,0.12,E501,True
M001,Router,2444,26,5.8,36,0.19,E501,True
M005,Grinder,1065,25,5.8,0,0.18,E404,False
M003,Router,2262,27,6.2,15,0.14,E501,True
M003,Router,1721,31,5.0,58,0.21,E101,False
M003,Milling,2582,22,8.4,15,0.16,E404,True
M007,Milling,3136,26,8.7,32,0.06,E305,True
M003,Router,1418,23,9.2,52,0.12,E305,False
M010,Router,2732,27,4.2,33,0.17,E404,True
M001,Router,2206,23,5.6,46,0.22,E305,False
M006,Lathe,1752,23,5.4,48,0.2,E202,False
M010,Lathe,3080,27,7.4,21,0.06,E101,True
M003,Grinder,2215,31,5.1,7,0.19,E202,False
M001,Router,2295,27,7.5,21,0.13,E101,False
M004,Grinder,2043,26,8.3,7,0.16,E305,False
M010,Grinder,1744,25,4.5,37,0.16,E101,True
M009,Lathe,2402,22,5.0,20,0.15,E501,False
M001,Lathe,1357,22,7.5,37,0.1,E305,False
M006,Grinder,2437,23,5.9,34,0.19,E305,False
M003,Router,2851,22,8.5,28,0.12,E305,True
M003,Router,1916,27,6.2,38,0.09,E202,True
M004,Router,1789,24,4.1,13,0.21,E404,True
M002,Grinder,1476,31,6.0,4,0.21,E501,False
M009,Lathe,2477,28,5.8,43,0.21,E501,False
M008,Grinder,1182,26,5.1,50,0.17,E404,True
M004,Router,2161,31,3.5,58,0.19,E305,True
M006,Router,1952,30,5.3,37,0.07,E101,False
M001,Milling,1840,28,4.2,2,0.2,E404,True
M005,Grinder,2774,24,8.7,47,0.12,E305,False
M001,Milling,2528,24,4.4,7,0.05,E404,True
M007,Grinder,1027,23,5.1,40,0.05,E305,False
M004,Grinder,1097,23,5.7,57,0.07,E202,True
M008,Lathe,1696,23,8.8,43,0.13,E101,True
M005,Router,827,27,8.7,58,0.18,E501,True
M001,Milling,1142,28,5.5,16,0.2,E305,False
M002,Milling,1343,29,5.1,26,0.22,E501,False
M010,Milling,3046,31,7.9,59,0.09,E202,False
M006,Lathe,1121,23,3.8,2,0.06,E202,True
M006,Router,2307,24,5.3,34,0.13,E305,False
M001,Lathe,1379,27,6.3,45,0.2,E501,False
M007,Lathe,2496,29,6.7,6,0.22,E202,False
M007,Lathe,1284,31,7.9,38,0.21,E202,False
M003,Lathe,1159,22,9.1,56,0.14,E501,False
M008,Router,1364,30,5.5,24,0.18,E305,True
M005,Lathe,2839,31,6.2,21,0.06,E404,False
M005,Lathe,824,31,4.3,28,0.2,E101,False
M003,Lathe,2727,28,7.2,46,0.19,E404,True
M001,Milling,1250,28,4.0,2,0.15,E202,True
M009,Milling,2355,27,5.3,35,0.19,E101,True
M009,Grinder,2787,27,3.6,34,0.11,E101,False
M005,Milling,2382,25,4.0,49,0.1,E404,False
M009,Router,1529,27,3.8,25,0.22,E501,True
M006,Lathe,2918,24,4.4,49,0.19,E404,False
M003,Router,1176,28,7.5,8,0.18,E101,True
M003,Lathe,968,28,8.6,7,0.07,E202,True
M003,Milling,1248,24,4.8,25,0.15,E202,True
M010,Router,2282,23,5.1,5,0.12,E305,False
M003,Milling,2286,22,5.1,48,0.16,E305,True
M003,Router,1585,28,7.2,23,0.14,E305,False
M001,Milling,1139,25,4.9,49,0.06,E501,False
M009,Lathe,1875,26,6.5,57,0.06,E305,False
M005,Lathe,2185,25,8.9,13,0.12,E501,False
M009,Milling,1290,31,4.6,48,0.2,E404,True
M001,Lathe,1191,22,9.1,6,0.14,E202,True
M004,Lathe,2656,23,6.7,34,0.12,E101,False
M002,Grinder,1821,30,6.2,44,0.08,E101,True
M010,Lathe,2335,28,7.9,49,0.15,E501,False
M004,Router,2072,29,4.8,56,0.08,E202,True
M004,Router,1372,30,7.0,47,0.19,E404,False
M004,Router,1311,24,7.3,16,0.18,E202,True
M007,Router,2362,28,4.9,4,0.05,E501,False
M007,Lathe,1817,31,3.9,28,0.15,E404,False
M005,Lathe,2174,27,7.5,19,0.21,E404,False
M001,Milling,3196,27,5.4,14,0.11,E501,True
M001,Milling,2069,27,5.8,13,0.09,E305,False
M010,Lathe,1381,25,7.1,34,0.13,E101,False
M009,Lathe,2884,23,5.4,56,0.05,E101,False
M001,Lathe,1820,26,8.4,17,0.07,E101,True
M008,Lathe,2003,24,5.7,5,0.08,E501,False
M008,Router,996,25,9.1,37,0.05,E404,True
M010,Grinder,1395,25,6.6,46,0.09,E202,False
M009,Router,1758,24,5.7,17,0.16,E202,True
M002,Lathe,1978,27,6.6,17,0.14,E501,False
M001,Lathe,2295,30,7.5,23,0.22,E305,False
M009,Grinder,1812,26,8.2,42,0.19,E202,False
M005,Lathe,2292,23,4.3,33,0.09,E305,False
M008,Router,1948,30,6.6,13,0.11,E305,True
M001,Router,2660,24,4.0,59,0.11,E404,True
M003,Grinder,2690,29,4.1,41,0.12,E202,False
M003,Router,1047,22,4.1,57,0.17,E202,True
M006,Grinder,2189,24,8.3,55,0.07,E101,False
M004,Lathe,1742,23,6.1,7,0.19,E305,False
M009,Lathe,2770,22,9.0,55,0.19,E501,False
M007,Grinder,1627,22,9.0,36,0.22,E501,True
M005,Grinder,1150,27,4.9,7,0.2,E501,False
M008,Lathe,1409,28,7.4,58,0.22,E404,True
M004,Router,885,25,8.9,18,0.17,E501,True
M005,Grinder,3190,30,5.0,22,0.18,E404,True
M005,Milling,1606,23,7.9,45,0.06,E501,False
M006,Lathe,2032,27,6.4,58,0.14,E101,True
M009,Router,2674,26,8.3,15,0.12,E202,True
M004,Lathe,3156,27,4.1,32,0.11,E501,False
M005,Grinder,2553,23,8.6,40,0.13,E305,False
M010,Grinder,2441,26,4.4,41,0.2,E501,False
M002,Lathe,2683,25,7.4,26,0.17,E305,False
M004,Grinder,1229,22,4.8,46,0.1,E101,False
M002,Lathe,1145,22,4.5,43,0.14,E202,False
M006,Grinder,2698,27,7.3,52,0.15,E101,False
M009,Milling,2989,25,5.6,42,0.09,E202,False
M007,Router,2684,27,5.6,23,0.2,E305,False
M003,Milling,1500,29,4.6,7,0.06,E501,True
M002,Lathe,1570,25,7.9,5,0.12,E404,True
M002,Grinder,2317,25,7.7,43,0.17,E101,False
M003,Grinder,1356,23,4.8,12,0.06,E101,False
M001,Grinder,1402,30,3.8,28,0.06,E101,True
M008,Milling,1935,25,7.1,51,0.1,E202,True
M004,Router,2835,22,8.0,26,0.2,E501,False
M010,Lathe,2576,30,3.7,21,0.09,E404,False
M006,Lathe,2120,29,6.7,53,0.11,E305,True
M010,Router,1037,24,9.1,49,0.14,E202,False
M003,Lathe,2552,22,5.2,13,0.12,E202,False
M003,Lathe,2200,29,7.3,32,0.15,E501,False
M002,Milling,1505,23,4.6,58,0.17,E501,True
M003,Router,2919,28,6.0,22,0.08,E404,False
M008,Milling,3196,23,6.5,49,0.09,E202,False
M006,Lathe,1811,23,6.3,56,0.11,E101,False
M002,Router,934,25,5.1,13,0.14,E501,False
